eic,name,tso,u_primary,u_secondary,imax,s_nom,r,x,b,g,theta,is_pst,x_physical
17T-FR-00000065R,TR 400/225kV 761 ARGIA (BAYONNE SUD),RTE,400.0,225.0,1803.0,1249.1550424186744,0.17,42.4,,,,False,True
17T000000014153E,TR 400/225kV 761 ARGOEUVES,RTE,400.0,225.0,1803.0,1249.1550424186744,0.28,45.2,,,,False,True
17T000000014154C,TR 400/225kV 763 ARGOEUVES,RTE,400.0,225.0,1803.0,1249.1550424186744,0.31,46.2,,,,False,True
17T000000014162D,TR 400/225kV 761 ATTAQUES (LES),RTE,400.0,225.0,921.0,638.0875175083744,0.01,74.3,,,,False,True
17T000000014163B,TR 400/225kV 762 ATTAQUES (LES),RTE,400.0,225.0,921.0,638.0875175083744,0.37,68.1,,,,False,True
17T0000000141738,TR 400/225kV 761 AVELIN,RTE,400.0,225.0,1803.0,1249.1550424186744,0.29,45.7,,,,False,True
17T0000000141746,TR 400/225kV 762 AVELIN,RTE,400.0,225.0,1803.0,1249.1550424186744,0.28,45.2,,,,False,True
17T0000000141754,TR 400/225kV 763 AVELIN,RTE,400.0,225.0,1803.0,1249.1550424186744,0.28,45.4,,,,False,True
17T0000000145075,TR 400/225kV 761 AVOINE (POSTE 400 KV),RTE,400.0,225.0,913.0,632.544954924154,0.51,69.4,,,,False,True
17T000000014510G,TR 400/225kV 761 BROC-CARROS (LE),RTE,400.0,225.0,1803.0,1249.1550424186744,0.1,42.3,,,,False,True
17T000000014511E,TR 400/225kV 762 BROC-CARROS (LE),RTE,400.0,225.0,1803.0,1249.1550424186744,0.26,45.5,,,,False,True
17T0000000145237,TR 400/225kV 761 BEAUMONT-MONTEUX,RTE,400.0,225.0,1803.0,1249.1550424186744,0.23,45.3,,,,False,True
17T0000000145245,TR 400/225kV 762 BEAUMONT-MONTEUX,RTE,400.0,225.0,1803.0,1249.1550424186744,0.25,45.4,,,,False,True
17T0000000145326,TR 400/225kV 761 BAIXAS,RTE,400.0,225.0,901.0,624.2311110478233,2.2643,74.1,,,,False,True
17T0000000145334,TR 400/225kV 762 BAIXAS,RTE,400.0,225.0,901.0,624.2311110478233,2.3134,73.8,,,,False,True
17T000000015933K,TR 400/225kV 763 BAIXAS,RTE,400.0,225.0,902.0,624.9239313708509,-0.029,73.15,,,,False,True
17T000000014547U,TR 400/225kV 761 BAYET,RTE,400.0,225.0,921.0,638.0875175083744,0.62,70.0,,,,False,True
17T000000014548S,TR 400/225kV 762 BAYET,RTE,400.0,225.0,910.0,630.4664939550713,0.71,70.5,,,,False,True
17T000000014549Q,TR 400/225kV 763 BAYET,RTE,400.0,225.0,921.0,638.0875175083744,0.68,70.6,,,,False,True
17T000000014558P,TR 400/225kV 761 BEZAUMONT,RTE,400.0,225.0,921.0,638.0875175083744,0.16,70.6,,,,False,True
17T000000014559N,TR 400/225kV 762 BEZAUMONT,RTE,400.0,225.0,921.0,638.0875175083744,0.15,71.3,,,,False,True
17T000000014564U,TR 400/225kV 761 BIANCON,RTE,400.0,225.0,1803.0,1249.1550424186744,0.24,43.1,,,,False,True
17T000000014565S,TR 400/225kV 762 BIANCON,RTE,400.0,225.0,1803.0,1249.1550424186744,0.24,43.1,,,,False,True
17T000000014572V,TR 400/225kV 761 BOISSE (LA),RTE,400.0,225.0,1803.0,1249.1550424186744,0.07,42.4,,,,False,True
17T000000014573T,TR 400/225kV 762 BOISSE (LA),RTE,400.0,225.0,1803.0,1249.1550424186744,0.1,39.8,,,,False,True
17T000000014581U,TR 400/225kV 761 BOUTRE,RTE,400.0,225.0,1803.0,1249.1550424186744,0.08,42.3,,,,False,True
17T000000014582S,TR 400/225kV 762 BOUTRE,RTE,400.0,225.0,1800.0,1247.0765814495915,0.09,42.6,,,,False,True
17T000000014583Q,TR 400/225kV 761 BRAUD,RTE,400.0,225.0,961.0,665.8003304294765,0.05,70.3,,,,False,True
17T000000014586K,TR 400/225kV 762 BREUIL (LE),RTE,400.0,225.0,921.0,638.0875175083744,0.4,68.6,,,,False,True
17T000000016006H,TR 400/225kV 761 CALAN,RTE,400.0,225.0,1803.0,1249.1550424186744,0.082,45.95,,,,False,True
17T-FR-000000422,TR 400/225kV 761 CANTEGRIT,RTE,400.0,225.0,1803.0,1249.1550424186744,0.09,42.5,,,,False,True
17T-FR-000000430,TR 400/225kV 762 CANTEGRIT,RTE,400.0,225.0,1803.0,1249.1550424186744,0.06,42.7,,,,False,True
